@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute P1SummaryMatrix-1 numeric
@attribute P1SummaryMatrix-2 numeric
@attribute P1SummaryMatrix-3 numeric
@attribute P1SummaryMatrix-4 numeric
@attribute P1SummaryMatrix-5 numeric
@attribute P1SummaryMatrix-6 numeric
@attribute P1SummaryMatrix-7 numeric
@attribute P1SummaryMatrix-8 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
88,'2020/02/28 11:58:20:721',1,0.154233,0.121872,0.138052,0.046377,0.049142,0.04776,0.927527,0.340697,0,0,0,0,0
89,'2020/02/28 11:58:20:739',1,0.158676,0.113589,0.136133,0.04753,0.058173,0.052852,0.927527,0.340378,0,0,0,0,0
90,'2020/02/28 11:58:20:756',1,0.166021,0.118245,0.142133,0.051983,0.058805,0.055394,0.927527,0.340697,0,0,0,0,0
91,'2020/02/28 11:58:20:772',1,0.170498,0.125271,0.147885,0.048723,0.06633,0.057527,0.927527,0.341016,0,0,0,0,0
92,'2020/02/28 11:58:20:789',1,0.179153,0.13239,0.155771,0.044777,0.063303,0.05404,0.927527,0.340697,0,0,0,0,0
93,'2020/02/28 11:58:20:805',1,0.170162,0.145107,0.157635,0.057692,0.048818,0.053255,0.928136,0.340697,0,0,0,0,0
94,'2020/02/28 11:58:20:820',1,0.150715,0.142544,0.14663,0.063725,0.049036,0.05638,0.928136,0.341653,0,0,0,0,0
95,'2020/02/28 11:58:20:837',1,0.150804,0.13067,0.140737,0.054533,0.059961,0.057247,0.928136,0.341972,0,0,0,0,0
96,'2020/02/28 11:58:20:852',1,0.154277,0.136582,0.14543,0.046813,0.062663,0.054738,0.928136,0.342929,0,0,0,0,0
97,'2020/02/28 11:58:20:871',1,0.152709,0.145537,0.149123,0.04937,0.071263,0.060316,0.928136,0.342929,0,0,0,0,0
98,'2020/02/28 11:58:20:886',1,0.156158,0.15377,0.154964,0.052483,0.066688,0.059585,0.928136,0.343885,0,0,0,0,0
99,'2020/02/28 11:58:20:903',1,0.144685,0.168615,0.15665,0.06589,0.048859,0.057375,0.928136,0.346117,0,0,0,0,0
100,'2020/02/28 11:58:20:919',1,0.12561,0.166129,0.14587,0.070432,0.047732,0.059082,0.928136,0.347393,0,0,0,0,0
101,'2020/02/28 11:58:20:936',1,0.124269,0.152213,0.138241,0.055061,0.057286,0.056174,0.928136,0.348668,0,0,0,0,0
102,'2020/02/28 11:58:20:953',1,0.127984,0.157928,0.142956,0.041249,0.059944,0.050596,0.928136,0.350262,0,0,0,0,0
103,'2020/02/28 11:58:20:970',1,0.125141,0.167076,0.146108,0.044324,0.068831,0.056577,0.928136,0.350581,0,0,0,0,0
104,'2020/02/28 11:58:20:987',1,0.126133,0.174013,0.150073,0.048421,0.065221,0.056821,0.928136,0.351857,0,0,0,0,0
105,'2020/02/28 11:58:21:003',1,0.114969,0.187472,0.15122,0.059685,0.052075,0.05588,0.928136,0.354726,0,0,0,0,0
106,'2020/02/28 11:58:21:020',1,0.098205,0.181829,0.140017,0.063225,0.056073,0.059649,0.928136,0.356958,0,0,0,0,0
107,'2020/02/28 11:58:21:036',1,0.097377,0.164787,0.131082,0.051926,0.065354,0.05864,0.928136,0.357915,0,0,0,0,0
108,'2020/02/28 11:58:21:053',1,0.101342,0.169572,0.135457,0.042487,0.06348,0.052984,0.928136,0.360147,0,0,0,0,0
109,'2020/02/28 11:58:21:072',1,0.096341,0.181704,0.139023,0.04668,0.059714,0.053197,0.928136,0.360785,0,0,0,0,0
110,'2020/02/28 11:58:21:089',1,0.095997,0.180596,0.138297,0.046924,0.059585,0.053254,0.928136,0.362379,0,0,0,0,0
111,'2020/02/28 11:58:21:105',1,0.087116,0.187937,0.137527,0.055118,0.053825,0.054471,0.927527,0.365886,0,0,0,0,0
112,'2020/02/28 11:58:21:119',1,0.074167,0.177613,0.12589,0.059902,0.062118,0.06101,0.927527,0.368118,0,0,0,0,0
113,'2020/02/28 11:58:21:136',1,0.072471,0.158297,0.115384,0.052781,0.069307,0.061044,0.927527,0.369394,0,0,0,0,0
114,'2020/02/28 11:58:21:154',1,0.077372,0.15748,0.117426,0.046328,0.062491,0.05441,0.927527,0.371307,0,0,0,0,0
115,'2020/02/28 11:58:21:170',1,0.077635,0.169833,0.123734,0.046871,0.057634,0.052253,0.927527,0.371945,0,0,0,0,0
116,'2020/02/28 11:58:21:185',1,0.08119,0.17158,0.126385,0.042816,0.05835,0.050583,0.927527,0.372901,0,0,0,0,0
117,'2020/02/28 11:58:21:203',1,0.079081,0.181557,0.130319,0.044832,0.05176,0.048296,0.927527,0.374814,0,0,0,0,0
118,'2020/02/28 11:58:21:219',1,0.071665,0.178429,0.125047,0.049373,0.061683,0.055528,0.927527,0.376727,0,0,0,0,0
119,'2020/02/28 11:58:21:236',1,0.069354,0.161627,0.115491,0.04324,0.071749,0.057495,0.927527,0.377365,0,0,0,0,0
120,'2020/02/28 11:58:21:252',1,0.0712,0.157523,0.114361,0.037559,0.060304,0.048932,0.927527,0.379278,0,0,0,0,0
121,'2020/02/28 11:58:21:269',1,0.067932,0.160421,0.114177,0.041827,0.051239,0.046533,0.927527,0.379597,0,0,0,0,0
122,'2020/02/28 11:58:21:286',1,0.066732,0.150031,0.108381,0.041365,0.061693,0.051529,0.927527,0.382148,0,0,0,0,0
123,'2020/02/28 11:58:21:302',1,0.061603,0.142469,0.102036,0.043683,0.073299,0.058491,0.927527,0.383105,0,0,0,0,0
124,'2020/02/28 11:58:21:318',1,0.056755,0.127258,0.092006,0.049785,0.070734,0.060259,0.927527,0.383742,0,0,0,0,0
125,'2020/02/28 11:58:21:336',1,0.060661,0.110731,0.085696,0.04589,0.074609,0.06025,0.927527,0.384699,0,0,0,0,0
126,'2020/02/28 11:58:21:352',1,0.06669,0.112891,0.08979,0.043708,0.060053,0.05188,0.927527,0.384699,0,0,0,0,0
127,'2020/02/28 11:58:21:368',1,0.073627,0.120466,0.097047,0.038068,0.047207,0.042638,0.927527,0.385018,0,0,0,0,0
128,'2020/02/28 11:58:21:386',1,0.076496,0.123585,0.10004,0.034929,0.048434,0.041682,0.926918,0.386931,0,0,0,0,0
129,'2020/02/28 11:58:21:403',1,0.072851,0.117667,0.095259,0.036552,0.060511,0.048532,0.927527,0.388525,0,0,0,0,0
130,'2020/02/28 11:58:21:418',1,0.066351,0.106872,0.086611,0.041433,0.067084,0.054258,0.927527,0.389163,0,0,0,0,0
131,'2020/02/28 11:58:21:436',1,0.065804,0.087709,0.076756,0.040095,0.083484,0.061789,0.927527,0.390119,0,0,0,0,0
132,'2020/02/28 11:58:32:009',2,0.068919,0.112109,0.090514,0.02396,0.020966,0.022463,0.909257,0.289361,0,1,1,0,0
133,'2020/02/28 11:58:32:025',2,0.063805,0.099013,0.081409,0.020521,0.02557,0.023045,0.909257,0.289999,0,1,1,0,0
134,'2020/02/28 11:58:32:039',2,0.067251,0.093773,0.080512,0.014029,0.019574,0.016801,0.909257,0.290955,0,1,1,0,0
135,'2020/02/28 11:58:32:054',2,0.067546,0.100476,0.084011,0.014184,0.017892,0.016038,0.909257,0.291912,0,1,1,0,0
136,'2020/02/28 11:58:32:070',2,0.068242,0.102552,0.085397,0.017444,0.021088,0.019266,0.909257,0.291912,0,1,1,0,0
137,'2020/02/28 11:58:32:085',2,0.067392,0.106628,0.08701,0.022557,0.01662,0.019588,0.909866,0.291912,0,1,1,0,0
138,'2020/02/28 11:58:32:099',2,0.057416,0.108492,0.082954,0.025814,0.020698,0.023256,0.909866,0.294144,0,1,1,0,0
139,'2020/02/28 11:58:32:115',2,0.054805,0.09418,0.074493,0.022355,0.02375,0.023053,0.909866,0.294782,0,1,1,0,0
140,'2020/02/28 11:58:32:129',2,0.056145,0.092401,0.074273,0.016882,0.022356,0.019619,0.909866,0.296057,0,1,1,0,0
141,'2020/02/28 11:58:32:143',2,0.058362,0.096151,0.077257,0.017008,0.03204,0.024524,0.909866,0.296376,0,1,1,0,0
142,'2020/02/28 11:58:32:159',2,0.057611,0.105358,0.081485,0.019493,0.029802,0.024648,0.909866,0.297651,0,1,1,0,0
143,'2020/02/28 11:58:32:174',2,0.055048,0.107798,0.081423,0.020186,0.027679,0.023932,0.909257,0.299564,0,1,1,0,0
144,'2020/02/28 11:58:32:192',2,0.051263,0.106506,0.078884,0.025447,0.032479,0.028963,0.909257,0.30084,0,1,1,0,0
145,'2020/02/28 11:58:32:208',2,0.050192,0.10464,0.077416,0.025209,0.033123,0.029166,0.909257,0.302115,0,1,1,0,0
146,'2020/02/28 11:58:32:225',2,0.053468,0.10725,0.080359,0.021133,0.035326,0.02823,0.909257,0.302434,0,1,1,0,0
147,'2020/02/28 11:58:32:240',2,0.054678,0.116733,0.085706,0.022093,0.033677,0.027885,0.908648,0.302753,0,1,1,0,0
148,'2020/02/28 11:58:32:258',2,0.050572,0.123133,0.086852,0.026364,0.031975,0.029169,0.908039,0.304985,0,1,1,0,0
149,'2020/02/28 11:58:32:274',2,0.044494,0.118428,0.081461,0.028381,0.040497,0.034439,0.908039,0.306898,0,1,1,0,0
150,'2020/02/28 11:58:32:291',2,0.037661,0.106614,0.072138,0.031986,0.045901,0.038943,0.90743,0.307855,0,1,1,0,0
151,'2020/02/28 11:58:32:307',2,0.034676,0.09336,0.064018,0.029784,0.055594,0.042689,0.90743,0.30913,0,1,1,0,0
152,'2020/02/28 11:58:32:324',2,0.036568,0.086241,0.061404,0.023306,0.053297,0.038301,0.90743,0.309449,0,1,1,0,0
153,'2020/02/28 11:58:32:340',2,0.036614,0.090332,0.063473,0.0226,0.043388,0.032994,0.90743,0.309768,0,1,1,0,0
154,'2020/02/28 11:58:32:358',2,0.036251,0.091381,0.063816,0.020435,0.043917,0.032176,0.906821,0.311362,0,1,1,0,0
155,'2020/02/28 11:58:32:375',2,0.0324,0.09105,0.061725,0.023026,0.039385,0.031205,0.906821,0.312956,0,1,1,0,0
156,'2020/02/28 11:58:32:390',2,0.032807,0.08004,0.056423,0.020158,0.041354,0.030756,0.906212,0.313913,0,1,1,0,0
157,'2020/02/28 11:58:32:408',2,0.033822,0.080669,0.057246,0.018299,0.03493,0.026614,0.906212,0.315188,0,1,1,0,0
158,'2020/02/28 11:58:32:423',2,0.034176,0.084325,0.059251,0.01909,0.031371,0.02523,0.906212,0.315826,0,1,1,0,0
159,'2020/02/28 11:58:32:440',2,0.035856,0.084818,0.060337,0.017209,0.03007,0.023639,0.906212,0.316145,0,1,1,0,0
160,'2020/02/28 11:58:32:457',2,0.033908,0.089583,0.061746,0.018215,0.02638,0.022297,0.906212,0.317739,0,1,1,0,0
161,'2020/02/28 11:58:32:473',2,0.030209,0.085797,0.058003,0.019949,0.02762,0.023785,0.906212,0.319333,0,1,1,0,0
162,'2020/02/28 11:58:32:489',2,0.030782,0.076402,0.053592,0.017464,0.027311,0.022387,0.906212,0.32029,0,1,1,0,0
163,'2020/02/28 11:58:32:505',2,0.032389,0.077997,0.055193,0.015643,0.020692,0.018167,0.906212,0.321247,0,1,1,0,0
164,'2020/02/28 11:58:32:522',2,0.033172,0.082219,0.057696,0.015027,0.02162,0.018323,0.906212,0.322203,0,1,1,0,0
165,'2020/02/28 11:58:32:539',2,0.035252,0.083596,0.059424,0.01386,0.021095,0.017478,0.906212,0.322522,0,1,1,0,0
166,'2020/02/28 11:58:32:557',2,0.033605,0.0886,0.061102,0.01547,0.019135,0.017302,0.906212,0.324116,0,1,1,0,0
167,'2020/02/28 11:58:32:572',2,0.030883,0.084596,0.057739,0.016535,0.023863,0.020199,0.906821,0.325711,0,1,1,0,0
168,'2020/02/28 11:58:32:606',2,0.030438,0.076963,0.0537,0.014203,0.026557,0.02038,0.906821,0.326667,0,1,1,0,0
169,'2020/02/28 11:58:32:622',2,0.031131,0.075509,0.05332,0.012317,0.023978,0.018148,0.906821,0.327305,0,1,1,0,0
170,'2020/02/28 11:58:32:636',2,0.029523,0.081343,0.055433,0.012836,0.025383,0.019109,0.906821,0.32858,0,1,1,0,0
171,'2020/02/28 11:58:32:655',2,0.029408,0.081486,0.055447,0.013203,0.028881,0.021042,0.906821,0.32858,0,1,1,0,0
172,'2020/02/28 11:58:32:674',2,0.027743,0.088072,0.057907,0.016843,0.024424,0.020634,0.90743,0.329218,0,1,1,0,0
173,'2020/02/28 11:58:32:689',2,0.023934,0.089232,0.056583,0.018455,0.022991,0.020723,0.90743,0.33145,0,1,1,0,0
174,'2020/02/28 11:58:32:704',2,0.022604,0.08138,0.051992,0.015135,0.024663,0.019899,0.90743,0.333044,0,1,1,0,0
175,'2020/02/28 11:58:32:721',2,0.023899,0.081351,0.052625,0.01318,0.026472,0.019826,0.90743,0.334639,0,1,1,0,0
176,'2020/02/28 11:58:32:737',2,0.023633,0.088832,0.056232,0.013576,0.029853,0.021714,0.90743,0.336552,0,1,1,0,0
177,'2020/02/28 11:58:32:755',2,0.023961,0.091061,0.057511,0.013079,0.03131,0.022195,0.90743,0.336552,0,1,1,0,0
178,'2020/02/28 11:58:32:771',2,0.02281,0.100162,0.061486,0.015038,0.023238,0.019138,0.908039,0.337827,0,1,1,0,0
179,'2020/02/28 11:58:32:788',2,0.019833,0.1023,0.061066,0.015296,0.01713,0.016213,0.908039,0.341334,0,1,1,0,0
180,'2020/02/28 11:58:32:804',2,0.019205,0.094521,0.056863,0.012816,0.021551,0.017184,0.908039,0.343885,0,1,1,0,0
181,'2020/02/28 11:58:32:822',2,0.018934,0.094098,0.056516,0.010957,0.028551,0.019754,0.908039,0.345161,0,1,1,0,0
182,'2020/02/28 11:58:32:838',2,0.018498,0.099726,0.059112,0.009913,0.032247,0.02108,0.908039,0.348349,0,1,1,0,0
